"YEAR","State","District","ANNUAL.RAINFALL_MM"
2002,"KARNATAKA","BIJAPUR / VIJAYAPURA",482
2003,"KARNATAKA","BIJAPUR / VIJAYAPURA",-1
2004,"KARNATAKA","BIJAPUR / VIJAYAPURA",435.9
2005,"KARNATAKA","BIJAPUR / VIJAYAPURA",616
2006,"KARNATAKA","BIJAPUR / VIJAYAPURA",591
2007,"KARNATAKA","BIJAPUR / VIJAYAPURA",626
2008,"KARNATAKA","BIJAPUR / VIJAYAPURA",360
2009,"KARNATAKA","BIJAPUR / VIJAYAPURA",917.1
2010,"KARNATAKA","BIJAPUR / VIJAYAPURA",588
2011,"KARNATAKA","BIJAPUR / VIJAYAPURA",356
2012,"KARNATAKA","BIJAPUR / VIJAYAPURA",427.9
2013,"KARNATAKA","BIJAPUR / VIJAYAPURA",612.7
2014,"KARNATAKA","BIJAPUR / VIJAYAPURA",596.3
2015,"KARNATAKA","BIJAPUR / VIJAYAPURA",456.1
2000,"KARNATAKA","BIDAR",814
2001,"KARNATAKA","BIDAR",787
2002,"KARNATAKA","BIDAR",754
2003,"KARNATAKA","BIDAR",-1
2004,"KARNATAKA","BIDAR",766
2005,"KARNATAKA","BIDAR",1003
2006,"KARNATAKA","BIDAR",775
2007,"KARNATAKA","BIDAR",798.1
2008,"KARNATAKA","BIDAR",760
2009,"KARNATAKA","BIDAR",615.4
2010,"KARNATAKA","BIDAR",1040
2011,"KARNATAKA","BIDAR",719
2012,"KARNATAKA","BIDAR",762.5
2013,"KARNATAKA","BIDAR",988.8
2014,"KARNATAKA","BIDAR",643.1
2015,"KARNATAKA","BIDAR",659.6
2000,"KARNATAKA","RAICHUR",635
2001,"KARNATAKA","RAICHUR",610
2002,"KARNATAKA","RAICHUR",580
2003,"KARNATAKA","RAICHUR",-1
2004,"KARNATAKA","RAICHUR",573
2005,"KARNATAKA","RAICHUR",827
2006,"KARNATAKA","RAICHUR",563
2007,"KARNATAKA","RAICHUR",707.8
2008,"KARNATAKA","RAICHUR",348
2009,"KARNATAKA","RAICHUR",1178.6
2010,"KARNATAKA","RAICHUR",653
2011,"KARNATAKA","RAICHUR",358
2012,"KARNATAKA","RAICHUR",411.9
2013,"KARNATAKA","RAICHUR",757.1
2014,"KARNATAKA","RAICHUR",651.5
2015,"KARNATAKA","RAICHUR",568.2
2000,"KARNATAKA","GULBARGA / KALABURAGI",740
2001,"KARNATAKA","GULBARGA / KALABURAGI",615
2002,"KARNATAKA","GULBARGA / KALABURAGI",532
2003,"KARNATAKA","GULBARGA / KALABURAGI",-1
2004,"KARNATAKA","GULBARGA / KALABURAGI",626
2005,"KARNATAKA","GULBARGA / KALABURAGI",877
2006,"KARNATAKA","GULBARGA / KALABURAGI",593
2007,"KARNATAKA","GULBARGA / KALABURAGI",764.2
2008,"KARNATAKA","GULBARGA / KALABURAGI",535
2009,"KARNATAKA","GULBARGA / KALABURAGI",861.6
2010,"KARNATAKA","GULBARGA / KALABURAGI",881
2011,"KARNATAKA","GULBARGA / KALABURAGI",593
2012,"KARNATAKA","GULBARGA / KALABURAGI",667.7
2013,"KARNATAKA","GULBARGA / KALABURAGI",838.9
2014,"KARNATAKA","GULBARGA / KALABURAGI",735.6
2015,"KARNATAKA","GULBARGA / KALABURAGI",595.3
2000,"KARNATAKA","DAKSHINA KANNADA",3540
2001,"KARNATAKA","DAKSHINA KANNADA",3889
2002,"KARNATAKA","DAKSHINA KANNADA",3132
2003,"KARNATAKA","DAKSHINA KANNADA",-1
2004,"KARNATAKA","DAKSHINA KANNADA",3403
2005,"KARNATAKA","DAKSHINA KANNADA",3830
2006,"KARNATAKA","DAKSHINA KANNADA",4034
2007,"KARNATAKA","DAKSHINA KANNADA",4076
2008,"KARNATAKA","DAKSHINA KANNADA",3190
2009,"KARNATAKA","DAKSHINA KANNADA",3815.9
2010,"KARNATAKA","DAKSHINA KANNADA",4471
2011,"KARNATAKA","DAKSHINA KANNADA",4293
2012,"KARNATAKA","DAKSHINA KANNADA",3374.8
2013,"KARNATAKA","DAKSHINA KANNADA",4284.6
2014,"KARNATAKA","DAKSHINA KANNADA",3704.1
2015,"KARNATAKA","DAKSHINA KANNADA",3289.3
2000,"KARNATAKA","UTTARA KANNADA",2812
2001,"KARNATAKA","UTTARA KANNADA",2112
2002,"KARNATAKA","UTTARA KANNADA",2301
2003,"KARNATAKA","UTTARA KANNADA",-1
2004,"KARNATAKA","UTTARA KANNADA",2536
2005,"KARNATAKA","UTTARA KANNADA",3057
2006,"KARNATAKA","UTTARA KANNADA",3240
2007,"KARNATAKA","UTTARA KANNADA",3491.5
2008,"KARNATAKA","UTTARA KANNADA",2574
2009,"KARNATAKA","UTTARA KANNADA",3103.7
2010,"KARNATAKA","UTTARA KANNADA",2879
2011,"KARNATAKA","UTTARA KANNADA",3237
2012,"KARNATAKA","UTTARA KANNADA",3034.9
2013,"KARNATAKA","UTTARA KANNADA",3649.2
2014,"KARNATAKA","UTTARA KANNADA",3289.8
2015,"KARNATAKA","UTTARA KANNADA",2135.7
2000,"KARNATAKA","KODAGU / COORG",2835
2001,"KARNATAKA","KODAGU / COORG",2557
2002,"KARNATAKA","KODAGU / COORG",2118
2003,"KARNATAKA","KODAGU / COORG",1928
2004,"KARNATAKA","KODAGU / COORG",2787
2005,"KARNATAKA","KODAGU / COORG",3327
2006,"KARNATAKA","KODAGU / COORG",2932
2007,"KARNATAKA","KODAGU / COORG",3760.1
2008,"KARNATAKA","KODAGU / COORG",2116
2009,"KARNATAKA","KODAGU / COORG",2500.9
2010,"KARNATAKA","KODAGU / COORG",2647
2011,"KARNATAKA","KODAGU / COORG",3077
2012,"KARNATAKA","KODAGU / COORG",1807.7
2013,"KARNATAKA","KODAGU / COORG",3031.3
2014,"KARNATAKA","KODAGU / COORG",2630
2015,"KARNATAKA","KODAGU / COORG",2486.6
2012,"TAMIL NADU","CHENGALPATTU MGR / KANCHIPURAM",902.6
2013,"TAMIL NADU","CHENGALPATTU MGR / KANCHIPURAM",905.3
2014,"TAMIL NADU","CHENGALPATTU MGR / KANCHIPURAM",907.8
2015,"TAMIL NADU","CHENGALPATTU MGR / KANCHIPURAM",2256.8
2000,"TAMIL NADU","SOUTH ARCOT / CUDDALORE",30.8
2001,"TAMIL NADU","SOUTH ARCOT / CUDDALORE",845.1
2002,"TAMIL NADU","SOUTH ARCOT / CUDDALORE",996.2
2003,"TAMIL NADU","SOUTH ARCOT / CUDDALORE",1305.7
2004,"TAMIL NADU","SOUTH ARCOT / CUDDALORE",1626
2005,"TAMIL NADU","SOUTH ARCOT / CUDDALORE",1901.9
2006,"TAMIL NADU","SOUTH ARCOT / CUDDALORE",1350.2
2007,"TAMIL NADU","SOUTH ARCOT / CUDDALORE",1222.4
2008,"TAMIL NADU","SOUTH ARCOT / CUDDALORE",1836.8
2009,"TAMIL NADU","SOUTH ARCOT / CUDDALORE",1068.8
2010,"TAMIL NADU","SOUTH ARCOT / CUDDALORE",1547
2011,"TAMIL NADU","SOUTH ARCOT / CUDDALORE",-1
2012,"TAMIL NADU","SOUTH ARCOT / CUDDALORE",882.8
2013,"TAMIL NADU","SOUTH ARCOT / CUDDALORE",977.7
2014,"TAMIL NADU","SOUTH ARCOT / CUDDALORE",1217.9
2015,"TAMIL NADU","SOUTH ARCOT / CUDDALORE",1705.7
2000,"TAMIL NADU","NORTH ARCOT / VELLORE",746.6
2001,"TAMIL NADU","NORTH ARCOT / VELLORE",723.8
2002,"TAMIL NADU","NORTH ARCOT / VELLORE",584.1
2003,"TAMIL NADU","NORTH ARCOT / VELLORE",890.3
2004,"TAMIL NADU","NORTH ARCOT / VELLORE",904.3
2005,"TAMIL NADU","NORTH ARCOT / VELLORE",4508
2006,"TAMIL NADU","NORTH ARCOT / VELLORE",884.6
2007,"TAMIL NADU","NORTH ARCOT / VELLORE",1145.9
2008,"TAMIL NADU","NORTH ARCOT / VELLORE",857.9
2009,"TAMIL NADU","NORTH ARCOT / VELLORE",1096.8
2010,"TAMIL NADU","NORTH ARCOT / VELLORE",953.1
2011,"TAMIL NADU","NORTH ARCOT / VELLORE",-1
2012,"TAMIL NADU","NORTH ARCOT / VELLORE",809.9
2013,"TAMIL NADU","NORTH ARCOT / VELLORE",792.6
2014,"TAMIL NADU","NORTH ARCOT / VELLORE",685.7
2015,"TAMIL NADU","NORTH ARCOT / VELLORE",1359.2
2000,"TAMIL NADU","SALEM",933.3
2001,"TAMIL NADU","SALEM",748.5
2002,"TAMIL NADU","SALEM",535.8
2003,"TAMIL NADU","SALEM",976.5
2004,"TAMIL NADU","SALEM",1003.9
2005,"TAMIL NADU","SALEM",1216
2006,"TAMIL NADU","SALEM",915.2
2007,"TAMIL NADU","SALEM",952.8
2008,"TAMIL NADU","SALEM",1107.4
2009,"TAMIL NADU","SALEM",1020.4
2010,"TAMIL NADU","SALEM",1239.3
2011,"TAMIL NADU","SALEM",-1
2012,"TAMIL NADU","SALEM",831.5
2013,"TAMIL NADU","SALEM",830.9
2014,"TAMIL NADU","SALEM",857.7
2015,"TAMIL NADU","SALEM",1135.3
2000,"TAMIL NADU","COIMBATORE",685.1
2001,"TAMIL NADU","COIMBATORE",606.5
2002,"TAMIL NADU","COIMBATORE",448
2003,"TAMIL NADU","COIMBATORE",615.5
2004,"TAMIL NADU","COIMBATORE",712.2
2005,"TAMIL NADU","COIMBATORE",1334.9
2006,"TAMIL NADU","COIMBATORE",765.6
2007,"TAMIL NADU","COIMBATORE",721.8
2008,"TAMIL NADU","COIMBATORE",1223
2009,"TAMIL NADU","COIMBATORE",847.9
2010,"TAMIL NADU","COIMBATORE",856.2
2011,"TAMIL NADU","COIMBATORE",-1
2012,"TAMIL NADU","COIMBATORE",559.5
2013,"TAMIL NADU","COIMBATORE",898.3
2014,"TAMIL NADU","COIMBATORE",1221.9
2015,"TAMIL NADU","COIMBATORE",992.8
2000,"TAMIL NADU","TIRUCHIRAPALLI / TRICHY",763.1
2001,"TAMIL NADU","TIRUCHIRAPALLI / TRICHY",512.1
2002,"TAMIL NADU","TIRUCHIRAPALLI / TRICHY",515.8
2003,"TAMIL NADU","TIRUCHIRAPALLI / TRICHY",910.9
2004,"TAMIL NADU","TIRUCHIRAPALLI / TRICHY",1003.5
2005,"TAMIL NADU","TIRUCHIRAPALLI / TRICHY",1345.4
2006,"TAMIL NADU","TIRUCHIRAPALLI / TRICHY",760.5
2007,"TAMIL NADU","TIRUCHIRAPALLI / TRICHY",881.1
2008,"TAMIL NADU","TIRUCHIRAPALLI / TRICHY",1058.8
2009,"TAMIL NADU","TIRUCHIRAPALLI / TRICHY",675.8
2010,"TAMIL NADU","TIRUCHIRAPALLI / TRICHY",962.7
2011,"TAMIL NADU","TIRUCHIRAPALLI / TRICHY",-1
2012,"TAMIL NADU","TIRUCHIRAPALLI / TRICHY",419.8
2013,"TAMIL NADU","TIRUCHIRAPALLI / TRICHY",522.9
2014,"TAMIL NADU","TIRUCHIRAPALLI / TRICHY",535.9
2015,"TAMIL NADU","TIRUCHIRAPALLI / TRICHY",864.4
2000,"TAMIL NADU","THANJAVUR",1074
2001,"TAMIL NADU","THANJAVUR",852
2002,"TAMIL NADU","THANJAVUR",926.2
2003,"TAMIL NADU","THANJAVUR",893.8
2004,"TAMIL NADU","THANJAVUR",1309.3
2005,"TAMIL NADU","THANJAVUR",1464.2
2006,"TAMIL NADU","THANJAVUR",841.7
2007,"TAMIL NADU","THANJAVUR",1067.6
2008,"TAMIL NADU","THANJAVUR",1448.8
2009,"TAMIL NADU","THANJAVUR",1296.7
2010,"TAMIL NADU","THANJAVUR",1373.8
2011,"TAMIL NADU","THANJAVUR",-1
2012,"TAMIL NADU","THANJAVUR",685.5
2013,"TAMIL NADU","THANJAVUR",715.7
2014,"TAMIL NADU","THANJAVUR",910.6
2015,"TAMIL NADU","THANJAVUR",1103.8
2000,"TAMIL NADU","MADURAI",752.9
2001,"TAMIL NADU","MADURAI",546.7
2002,"TAMIL NADU","MADURAI",658.4
2003,"TAMIL NADU","MADURAI",816.6
2004,"TAMIL NADU","MADURAI",912.4
2005,"TAMIL NADU","MADURAI",1258.3
2006,"TAMIL NADU","MADURAI",814.7
2007,"TAMIL NADU","MADURAI",766.6
2008,"TAMIL NADU","MADURAI",998.2
2009,"TAMIL NADU","MADURAI",834.2
2010,"TAMIL NADU","MADURAI",1225.9
2011,"TAMIL NADU","MADURAI",-1
2012,"TAMIL NADU","MADURAI",548.4
2013,"TAMIL NADU","MADURAI",610.2
2014,"TAMIL NADU","MADURAI",744.2
2015,"TAMIL NADU","MADURAI",1002.5
2000,"TAMIL NADU","RAMANANTHAPURAM",951.4
2001,"TAMIL NADU","RAMANANTHAPURAM",806.9
2002,"TAMIL NADU","RAMANANTHAPURAM",871.9
2003,"TAMIL NADU","RAMANANTHAPURAM",709.2
2004,"TAMIL NADU","RAMANANTHAPURAM",1116.7
2005,"TAMIL NADU","RAMANANTHAPURAM",1274.8
2006,"TAMIL NADU","RAMANANTHAPURAM",1634.5
2007,"TAMIL NADU","RAMANANTHAPURAM",787.8
2008,"TAMIL NADU","RAMANANTHAPURAM",1477.9
2009,"TAMIL NADU","RAMANANTHAPURAM",565.6
2010,"TAMIL NADU","RAMANANTHAPURAM",1104.6
2011,"TAMIL NADU","RAMANANTHAPURAM",-1
2012,"TAMIL NADU","RAMANANTHAPURAM",536.5
2013,"TAMIL NADU","RAMANANTHAPURAM",579.9
2014,"TAMIL NADU","RAMANANTHAPURAM",935.7
2015,"TAMIL NADU","RAMANANTHAPURAM",1018.9
2000,"TAMIL NADU","THIRUNELVELI",702.2
2001,"TAMIL NADU","THIRUNELVELI",714.4
2002,"TAMIL NADU","THIRUNELVELI",805.7
2003,"TAMIL NADU","THIRUNELVELI",960.3
2004,"TAMIL NADU","THIRUNELVELI",1044.8
2005,"TAMIL NADU","THIRUNELVELI",1022.6
2006,"TAMIL NADU","THIRUNELVELI",1177
2007,"TAMIL NADU","THIRUNELVELI",840.3
2008,"TAMIL NADU","THIRUNELVELI",1286.7
2009,"TAMIL NADU","THIRUNELVELI",677.1
2010,"TAMIL NADU","THIRUNELVELI",835.1
2011,"TAMIL NADU","THIRUNELVELI",-1
2012,"TAMIL NADU","THIRUNELVELI",724.1
2013,"TAMIL NADU","THIRUNELVELI",918.4
2014,"TAMIL NADU","THIRUNELVELI",1350.8
2015,"TAMIL NADU","THIRUNELVELI",1547.7
2000,"TAMIL NADU","THE NILGIRIS",1170.3
2001,"TAMIL NADU","THE NILGIRIS",1108.2
2002,"TAMIL NADU","THE NILGIRIS",999.7
2003,"TAMIL NADU","THE NILGIRIS",1271.7
2004,"TAMIL NADU","THE NILGIRIS",1985.5
2005,"TAMIL NADU","THE NILGIRIS",2401.3
2006,"TAMIL NADU","THE NILGIRIS",1658.5
2007,"TAMIL NADU","THE NILGIRIS",1872.8
2008,"TAMIL NADU","THE NILGIRIS",2216.6
2009,"TAMIL NADU","THE NILGIRIS",1044.4
2010,"TAMIL NADU","THE NILGIRIS",1889.1
2011,"TAMIL NADU","THE NILGIRIS",-1
2012,"TAMIL NADU","THE NILGIRIS",1467.6
2013,"TAMIL NADU","THE NILGIRIS",1534.2
2014,"TAMIL NADU","THE NILGIRIS",1957.1
2015,"TAMIL NADU","THE NILGIRIS",1720.7
2012,"TAMIL NADU","KANYAKUMARI",810.8
2013,"TAMIL NADU","KANYAKUMARI",1201.4
2014,"TAMIL NADU","KANYAKUMARI",1316.2
2015,"TAMIL NADU","KANYAKUMARI",1814.1
2000,"MAHARASHTRA","BOMBAY",3430.7
2001,"MAHARASHTRA","BOMBAY",-1
2002,"MAHARASHTRA","BOMBAY",-1
2003,"MAHARASHTRA","BOMBAY",-1
2004,"MAHARASHTRA","BOMBAY",2227.1
2005,"MAHARASHTRA","BOMBAY",2769.6
2006,"MAHARASHTRA","BOMBAY",2806.2
2007,"MAHARASHTRA","BOMBAY",2509
2008,"MAHARASHTRA","BOMBAY",2532.8
2009,"MAHARASHTRA","BOMBAY",2058.1
2012,"MAHARASHTRA","BOMBAY",1808.8
2013,"MAHARASHTRA","BOMBAY",2480.8
2014,"MAHARASHTRA","BOMBAY",2277.2
2015,"MAHARASHTRA","BOMBAY",1783.1
2000,"MAHARASHTRA","THANE",2448.3
2001,"MAHARASHTRA","THANE",2356.1
2002,"MAHARASHTRA","THANE",2293.7
2003,"MAHARASHTRA","THANE",2583.9
2004,"MAHARASHTRA","THANE",2929.8
2005,"MAHARASHTRA","THANE",3563.1
2006,"MAHARASHTRA","THANE",3139.3
2007,"MAHARASHTRA","THANE",2594.7
2008,"MAHARASHTRA","THANE",2781.4
2009,"MAHARASHTRA","THANE",1990.2
2012,"MAHARASHTRA","THANE",2192.9
2013,"MAHARASHTRA","THANE",3026.5
2014,"MAHARASHTRA","THANE",2472.3
2015,"MAHARASHTRA","THANE",1827.9
2000,"MAHARASHTRA","RAIGAD",3362
2001,"MAHARASHTRA","RAIGAD",2338.9
2002,"MAHARASHTRA","RAIGAD",2197.2
2003,"MAHARASHTRA","RAIGAD",2999.6
2004,"MAHARASHTRA","RAIGAD",3228.4
2005,"MAHARASHTRA","RAIGAD",3975.7
2006,"MAHARASHTRA","RAIGAD",3831.9
2007,"MAHARASHTRA","RAIGAD",3757.1
2008,"MAHARASHTRA","RAIGAD",3323.2
2009,"MAHARASHTRA","RAIGAD",2256.5
2012,"MAHARASHTRA","RAIGAD",3071.3
2013,"MAHARASHTRA","RAIGAD",3802.7
2014,"MAHARASHTRA","RAIGAD",2957.5
2015,"MAHARASHTRA","RAIGAD",2244.4
2000,"MAHARASHTRA","RATNAGIRI",3529.4
2001,"MAHARASHTRA","RATNAGIRI",2808.3
2002,"MAHARASHTRA","RATNAGIRI",2883.4
2003,"MAHARASHTRA","RATNAGIRI",3080.9
2004,"MAHARASHTRA","RATNAGIRI",3103.1
2005,"MAHARASHTRA","RATNAGIRI",3634.6
2006,"MAHARASHTRA","RATNAGIRI",3698.7
2007,"MAHARASHTRA","RATNAGIRI",4076.2
2008,"MAHARASHTRA","RATNAGIRI",2991.2
2009,"MAHARASHTRA","RATNAGIRI",2874.4
2012,"MAHARASHTRA","RATNAGIRI",3720.7
2013,"MAHARASHTRA","RATNAGIRI",4357.4
2014,"MAHARASHTRA","RATNAGIRI",3034.5
2015,"MAHARASHTRA","RATNAGIRI",2354
2000,"MAHARASHTRA","NASIK",763.2
2001,"MAHARASHTRA","NASIK",892.8
2002,"MAHARASHTRA","NASIK",917.3
2003,"MAHARASHTRA","NASIK",1095.9
2004,"MAHARASHTRA","NASIK",1364.5
2005,"MAHARASHTRA","NASIK",1490.7
2006,"MAHARASHTRA","NASIK",1573.9
2007,"MAHARASHTRA","NASIK",1195.7
2008,"MAHARASHTRA","NASIK",1184.1
2009,"MAHARASHTRA","NASIK",742.9
2012,"MAHARASHTRA","NASIK",950.6
2013,"MAHARASHTRA","NASIK",1211.6
2014,"MAHARASHTRA","NASIK",1073.5
2015,"MAHARASHTRA","NASIK",838.7
2000,"MAHARASHTRA","DHULE",372.2
2001,"MAHARASHTRA","DHULE",536.4
2002,"MAHARASHTRA","DHULE",513.7
2003,"MAHARASHTRA","DHULE",847.6
2004,"MAHARASHTRA","DHULE",793.5
2005,"MAHARASHTRA","DHULE",558.3
2006,"MAHARASHTRA","DHULE",942.5
2007,"MAHARASHTRA","DHULE",598.1
2008,"MAHARASHTRA","DHULE",472.1
2009,"MAHARASHTRA","DHULE",565.7
2012,"MAHARASHTRA","DHULE",404.3
2013,"MAHARASHTRA","DHULE",921.1
2014,"MAHARASHTRA","DHULE",621.3
2015,"MAHARASHTRA","DHULE",540.7
2000,"MAHARASHTRA","JALGAON",496.4
2001,"MAHARASHTRA","JALGAON",653.5
2002,"MAHARASHTRA","JALGAON",769.3
2003,"MAHARASHTRA","JALGAON",934.6
2004,"MAHARASHTRA","JALGAON",647.5
2005,"MAHARASHTRA","JALGAON",541
2006,"MAHARASHTRA","JALGAON",1239.3
2007,"MAHARASHTRA","JALGAON",595.4
2008,"MAHARASHTRA","JALGAON",547.3
2009,"MAHARASHTRA","JALGAON",594.7
2012,"MAHARASHTRA","JALGAON",408.1
2013,"MAHARASHTRA","JALGAON",929.4
2014,"MAHARASHTRA","JALGAON",749.1
2015,"MAHARASHTRA","JALGAON",494.7
2000,"MAHARASHTRA","AHMEDNAGAR",566.1
2001,"MAHARASHTRA","AHMEDNAGAR",525.4
2002,"MAHARASHTRA","AHMEDNAGAR",430
2003,"MAHARASHTRA","AHMEDNAGAR",334.6
2004,"MAHARASHTRA","AHMEDNAGAR",678.3
2005,"MAHARASHTRA","AHMEDNAGAR",641.5
2006,"MAHARASHTRA","AHMEDNAGAR",771.8
2007,"MAHARASHTRA","AHMEDNAGAR",591.2
2008,"MAHARASHTRA","AHMEDNAGAR",648.9
2009,"MAHARASHTRA","AHMEDNAGAR",521.3
2012,"MAHARASHTRA","AHMEDNAGAR",394.1
2013,"MAHARASHTRA","AHMEDNAGAR",601.2
2014,"MAHARASHTRA","AHMEDNAGAR",500.5
2015,"MAHARASHTRA","AHMEDNAGAR",473.2
2000,"MAHARASHTRA","PUNE",634.5
2001,"MAHARASHTRA","PUNE",780.8
2002,"MAHARASHTRA","PUNE",662.4
2003,"MAHARASHTRA","PUNE",541.4
2004,"MAHARASHTRA","PUNE",972.5
2005,"MAHARASHTRA","PUNE",1233.7
2006,"MAHARASHTRA","PUNE",1183.1
2007,"MAHARASHTRA","PUNE",910.5
2008,"MAHARASHTRA","PUNE",810
2009,"MAHARASHTRA","PUNE",795.3
2012,"MAHARASHTRA","PUNE",690.6
2013,"MAHARASHTRA","PUNE",1106.4
2014,"MAHARASHTRA","PUNE",1007.3
2015,"MAHARASHTRA","PUNE",803.9
2000,"MAHARASHTRA","SATARA",966.1
2001,"MAHARASHTRA","SATARA",1052.8
2002,"MAHARASHTRA","SATARA",1003.6
2003,"MAHARASHTRA","SATARA",836.1
2004,"MAHARASHTRA","SATARA",1387.8
2005,"MAHARASHTRA","SATARA",1530.3
2006,"MAHARASHTRA","SATARA",1362.1
2007,"MAHARASHTRA","SATARA",1142.5
2008,"MAHARASHTRA","SATARA",862.1
2009,"MAHARASHTRA","SATARA",1186
2012,"MAHARASHTRA","SATARA",818.2
2013,"MAHARASHTRA","SATARA",925.6
2014,"MAHARASHTRA","SATARA",1002.6
2015,"MAHARASHTRA","SATARA",649.3
2000,"MAHARASHTRA","SANGLI",509.8
2001,"MAHARASHTRA","SANGLI",575.4
2002,"MAHARASHTRA","SANGLI",372.3
2003,"MAHARASHTRA","SANGLI",288.5
2004,"MAHARASHTRA","SANGLI",620.9
2005,"MAHARASHTRA","SANGLI",1065.6
2006,"MAHARASHTRA","SANGLI",875.2
2007,"MAHARASHTRA","SANGLI",775.2
2008,"MAHARASHTRA","SANGLI",726
2009,"MAHARASHTRA","SANGLI",692.4
2012,"MAHARASHTRA","SANGLI",470.4
2013,"MAHARASHTRA","SANGLI",625.7
2014,"MAHARASHTRA","SANGLI",772.4
2015,"MAHARASHTRA","SANGLI",480.8
2000,"MAHARASHTRA","SOLAPUR",639.9
2001,"MAHARASHTRA","SOLAPUR",544.6
2002,"MAHARASHTRA","SOLAPUR",555.4
2003,"MAHARASHTRA","SOLAPUR",281.1
2004,"MAHARASHTRA","SOLAPUR",565.9
2005,"MAHARASHTRA","SOLAPUR",635.8
2006,"MAHARASHTRA","SOLAPUR",542.6
2007,"MAHARASHTRA","SOLAPUR",653
2008,"MAHARASHTRA","SOLAPUR",672.5
2009,"MAHARASHTRA","SOLAPUR",671.1
2012,"MAHARASHTRA","SOLAPUR",454.6
2013,"MAHARASHTRA","SOLAPUR",593.8
2014,"MAHARASHTRA","SOLAPUR",547
2015,"MAHARASHTRA","SOLAPUR",351.6
2000,"MAHARASHTRA","KOLHAPUR",1743.8
2001,"MAHARASHTRA","KOLHAPUR",1580.9
2002,"MAHARASHTRA","KOLHAPUR",1625.6
2003,"MAHARASHTRA","KOLHAPUR",1435
2004,"MAHARASHTRA","KOLHAPUR",1927.7
2005,"MAHARASHTRA","KOLHAPUR",2809.8
2006,"MAHARASHTRA","KOLHAPUR",2611.4
2007,"MAHARASHTRA","KOLHAPUR",2260.6
2008,"MAHARASHTRA","KOLHAPUR",2082
2009,"MAHARASHTRA","KOLHAPUR",1883.6
2012,"MAHARASHTRA","KOLHAPUR",1618.9
2013,"MAHARASHTRA","KOLHAPUR",1891.6
2014,"MAHARASHTRA","KOLHAPUR",1692.4
2015,"MAHARASHTRA","KOLHAPUR",972
2000,"MAHARASHTRA","AURANGABAD",388.4
2001,"MAHARASHTRA","AURANGABAD",611.8
2002,"MAHARASHTRA","AURANGABAD",699.7
2003,"MAHARASHTRA","AURANGABAD",599.2
2004,"MAHARASHTRA","AURANGABAD",715
2005,"MAHARASHTRA","AURANGABAD",699.5
2006,"MAHARASHTRA","AURANGABAD",1013.9
2007,"MAHARASHTRA","AURANGABAD",586.8
2008,"MAHARASHTRA","AURANGABAD",684.2
2009,"MAHARASHTRA","AURANGABAD",578
2012,"MAHARASHTRA","AURANGABAD",404.9
2013,"MAHARASHTRA","AURANGABAD",709.5
2014,"MAHARASHTRA","AURANGABAD",582.2
2015,"MAHARASHTRA","AURANGABAD",597.2
2000,"MAHARASHTRA","PARBHANI",1407.3
2001,"MAHARASHTRA","PARBHANI",997.7
2002,"MAHARASHTRA","PARBHANI",918
2003,"MAHARASHTRA","PARBHANI",1017
2004,"MAHARASHTRA","PARBHANI",590.7
2005,"MAHARASHTRA","PARBHANI",1258.9
2006,"MAHARASHTRA","PARBHANI",938.7
2007,"MAHARASHTRA","PARBHANI",817.8
2008,"MAHARASHTRA","PARBHANI",709.1
2009,"MAHARASHTRA","PARBHANI",674.9
2012,"MAHARASHTRA","PARBHANI",674.9
2013,"MAHARASHTRA","PARBHANI",1000
2014,"MAHARASHTRA","PARBHANI",567.9
2015,"MAHARASHTRA","PARBHANI",451.7
2000,"MAHARASHTRA","BEED",581.9
2001,"MAHARASHTRA","BEED",721.5
2002,"MAHARASHTRA","BEED",640
2003,"MAHARASHTRA","BEED",637.4
2004,"MAHARASHTRA","BEED",662.2
2005,"MAHARASHTRA","BEED",675.1
2006,"MAHARASHTRA","BEED",696.6
2007,"MAHARASHTRA","BEED",569.7
2008,"MAHARASHTRA","BEED",607.1
2009,"MAHARASHTRA","BEED",710
2012,"MAHARASHTRA","BEED",431.6
2013,"MAHARASHTRA","BEED",690.5
2014,"MAHARASHTRA","BEED",457.4
2015,"MAHARASHTRA","BEED",403.3
2000,"MAHARASHTRA","NANDED",741
2001,"MAHARASHTRA","NANDED",866.5
2002,"MAHARASHTRA","NANDED",787.5
2003,"MAHARASHTRA","NANDED",880.9
2004,"MAHARASHTRA","NANDED",675.3
2005,"MAHARASHTRA","NANDED",883
2006,"MAHARASHTRA","NANDED",745.3
2007,"MAHARASHTRA","NANDED",586.9
2008,"MAHARASHTRA","NANDED",507.6
2009,"MAHARASHTRA","NANDED",494.1
2012,"MAHARASHTRA","NANDED",684.7
2013,"MAHARASHTRA","NANDED",1175.3
2014,"MAHARASHTRA","NANDED",554.9
2015,"MAHARASHTRA","NANDED",633.2
2000,"MAHARASHTRA","OSMANABAD",804.1
2001,"MAHARASHTRA","OSMANABAD",561.5
2002,"MAHARASHTRA","OSMANABAD",568.3
2003,"MAHARASHTRA","OSMANABAD",480.9
2004,"MAHARASHTRA","OSMANABAD",709.3
2005,"MAHARASHTRA","OSMANABAD",860.8
2006,"MAHARASHTRA","OSMANABAD",636.9
2007,"MAHARASHTRA","OSMANABAD",621
2008,"MAHARASHTRA","OSMANABAD",771.2
2009,"MAHARASHTRA","OSMANABAD",713.6
2012,"MAHARASHTRA","OSMANABAD",440.3
